<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.11.01	12:30:00	2753.06	2753.21	2748.00	2751.10	4550	0	25
2024.11.01	12:45:00	2751.09	2752.53	2749.95	2751.23	4000	0	25
2024.11.01	13:00:00	2751.24	2751.79	2750.30	2750.37	3915	0	25
2024.11.01	13:15:00	2750.38	2750.63	2747.25	2747.35	3889	0	25
2024.11.01	13:30:00	2747.35	2748.27	2744.80	2747.00	4598	0	25
2024.11.01	13:45:00	2747.01	2750.05	2746.61	2749.54	4315	0	25
2024.11.01	14:00:00	2749.54	2752.99	2749.54	2751.50	4550	0	25
2024.11.01	14:15:00	2751.49	2754.00	2751.30	2752.21	3919	0	25
2024.11.01	14:30:00	2752.20	2753.32	2751.56	2752.86	4256	0	25
2024.11.01	14:45:00	2752.85	2753.75	2752.01	2752.88	4173	0	25
2024.11.01	15:00:00	2752.89	2754.16	2751.62	2753.69	5542	0	25
2024.11.01	15:15:00	2753.69	2754.55	2749.89	2749.89	6550	0	25
2024.11.01	15:30:00	2749.93	2759.77	2749.25	2755.90	13175	0	25
2024.11.01	15:45:00	2755.90	2758.40	2752.78	2753.75	9327	0	25
2024.11.01	16:00:00	2753.79	2761.37	2753.63	2761.03	11025	0	25
2024.11.01	16:15:00	2761.04	2762.17	2753.35	2753.70	9979	0	25
2024.11.01	16:30:00	2753.64	2759.50	2752.14	2758.37	10230	0	25
2024.11.01	16:45:00	2758.37	2759.40	2755.97	2756.18	8170	0	25
2024.11.01	17:00:00	2756.30	2758.88	2753.18	2756.62	12106	0	25
2024.11.01	17:15:00	2756.61	2756.92	2748.00	2751.76	10416	0	25
2024.11.01	17:30:00	2751.75	2752.72	2739.68	2739.77	11400	0	25
2024.11.01	17:45:00	2739.76	2747.51	2739.75	2747.09	11482	0	25
2024.11.01	18:00:00	2747.09	2748.19	2742.58	2747.48	9236	0	25
2024.11.01	18:15:00	2747.48	2750.21	2747.07	2750.19	7557	0	25
2024.11.01	18:30:00	2750.20	2750.23	2746.21	2746.61	7063	0	25
2024.11.01	18:45:00	2746.63	2746.80	2742.72	2744.70	7728	0	25
2024.11.01	19:00:00	2744.72	2746.05	2742.63	2743.29	6651	0	25
2024.11.01	19:15:00	2743.26	2744.44	2742.61	2743.58	6515	0	25
2024.11.01	19:30:00	2743.59	2745.17	2740.79	2741.21	5797	0	25
2024.11.01	19:45:00	2741.22	2743.25	2740.35	2743.02	5901	0	25
2024.11.01	20:00:00	2743.06	2743.81	2741.55	2742.22	5108	0	25
2024.11.01	20:15:00	2742.22	2742.67	2739.14	2739.81	4879	0	25
2024.11.01	20:30:00	2739.83	2739.86	2735.34	2735.56	5394	0	25
2024.11.01	20:45:00	2735.55	2737.73	2735.02	2736.27	5038	0	25
2024.11.01	21:00:00	2736.25	2736.85	2733.92	2734.64	4671	0	25
2024.11.01	21:15:00	2734.65	2737.96	2733.47	2737.20	5118	0	25
2024.11.01	21:30:00	2737.22	2737.94	2735.99	2736.70	4341	0	25
2024.11.01	21:45:00	2736.70	2737.59	2736.01	2736.19	4108	0	25
2024.11.01	22:00:00	2736.18	2736.97	2734.11	2736.50	4410	0	25
2024.11.01	22:15:00	2736.49	2736.64	2733.17	2733.55	3475	0	25
2024.11.01	22:30:00	2733.54	2735.76	2733.51	2735.12	3439	0	25
2024.11.01	22:45:00	2735.13	2735.29	2733.47	2734.02	3899	0	25
2024.11.01	23:00:00	2734.05	2734.86	2733.44	2734.63	1647	0	25
2024.11.01	23:15:00	2734.62	2734.65	2733.25	2734.42	1140	0	25
2024.11.01	23:30:00	2734.41	2734.95	2733.58	2734.46	1125	0	25
2024.11.01	23:45:00	2734.46	2736.07	2734.28	2735.77	1098	0	25
2024.11.04	01:00:00	2732.35	2736.70	2732.34	2736.69	2547	0	25
2024.11.04	01:15:00	2736.67	2739.45	2736.28	2739.23	2781	0	25
2024.11.04	01:30:00	2739.22	2740.28	2737.76	2739.64	2198	0	25
2024.11.04	01:45:00	2739.63	2739.89	2738.24	2738.33	1680	0	25
2024.11.04	02:00:00	2738.33	2739.92	2737.21	2737.83	2547	0	25
2024.11.04	02:15:00	2737.82	2739.69	2736.96	2739.50	2162	0	25
2024.11.04	02:30:00	2739.51	2739.51	2737.96	2738.45	1946	0	25
2024.11.04	02:45:00	2738.45	2740.89	2738.45	2740.34	2636	0	25
2024.11.04	03:00:00	2740.34	2741.31	2735.34	2736.66	7098	0	25
2024.11.04	03:15:00	2736.64	2739.21	2736.46	2738.09	5184	0	25
2024.11.04	03:30:00	2738.08	2739.80	2737.32	2738.21	5406	0	25
2024.11.04	03:45:00	2738.22	2741.11	2737.62	2739.86	4802	0	25
2024.11.04	04:00:00	2739.87	2740.90	2737.99	2738.04	4780	0	25
2024.11.04	04:15:00	2738.05	2739.03	2736.94	2738.50	3560	0	25
2024.11.04	04:30:00	2738.50	2739.36	2737.16	2739.01	3877	0	25
2024.11.04	04:45:00	2739.01	2740.45	2738.19	2739.90	3605	0	25
2024.11.04	05:00:00	2739.90	2741.98	2739.28	2741.87	4165	0	25
2024.11.04	05:15:00	2741.93	2742.20	2740.15	2742.06	4570	0	25
2024.11.04	05:30:00	2742.11	2742.32	2740.49	2741.19	2761	0	25
2024.11.04	05:45:00	2741.19	2741.31	2740.34	2740.95	2147	0	25
2024.11.04	06:00:00	2740.91	2741.96	2740.37	2741.27	2196	0	25
2024.11.04	06:15:00	2741.26	2741.33	2739.74	2739.85	1391	0	25
2024.11.04	06:30:00	2739.84	2741.94	2739.70	2741.78	1514	0	25
